InstanceName,N,n,m_Max,m_0,V_max,V_0,Method,Time,LimitTime,Objective,isOptimal,NBNodes,InstancePath
instance4_n_10_N_40_tf_0.4_rdd_1.0_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.081651,300,0,1,0,nan
instance5_n_10_N_40_tf_0.4_rdd_1.0_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.119134,300,0,1,0,nan
instance6_n_10_N_40_tf_0.4_rdd_1.0_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0794769,300,0,1,0,nan
instance7_n_10_N_40_tf_0.4_rdd_1.0_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0979702,300,0,1,0,nan
instance8_n_10_N_40_tf_0.4_rdd_1.0_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.104193,300,0,1,0,nan
instance9_n_10_N_40_tf_0.4_rdd_1.0_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0718072,300,0,1,0,nan
instance0_n_10_N_40_tf_0.6_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0832585,300,0,1,0,nan
instance1_n_10_N_40_tf_0.6_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.101222,300,0,1,0,nan
instance2_n_10_N_40_tf_0.6_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0784178,300,0,1,0,nan
instance3_n_10_N_40_tf_0.6_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.100518,300,0,1,0,nan
instance4_n_10_N_40_tf_0.6_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.108122,300,0,1,0,nan
instance5_n_10_N_40_tf_0.6_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0747308,300,0,1,0,nan
instance6_n_10_N_40_tf_0.6_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0870895,300,0,1,0,nan
instance7_n_10_N_40_tf_0.6_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0784208,300,0,1,0,nan
instance8_n_10_N_40_tf_0.6_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0876368,300,0,1,0,nan
instance9_n_10_N_40_tf_0.6_rdd_0.2_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0969064,300,0,1,0,nan
instance0_n_10_N_40_tf_0.6_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.12272,300,0,1,0,nan
instance1_n_10_N_40_tf_0.6_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0685489,300,0,1,0,nan
instance2_n_10_N_40_tf_0.6_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0877679,300,0,1,0,nan
instance3_n_10_N_40_tf_0.6_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0672765,300,0,1,0,nan
instance4_n_10_N_40_tf_0.6_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0670879,300,0,1,0,nan
instance5_n_10_N_40_tf_0.6_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0730669,300,0,1,0,nan
instance6_n_10_N_40_tf_0.6_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0821161,300,0,1,0,nan
instance7_n_10_N_40_tf_0.6_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0720965,300,0,1,0,nan
instance8_n_10_N_40_tf_0.6_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0799812,300,0,1,0,nan
instance9_n_10_N_40_tf_0.6_rdd_0.4_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0695342,300,0,1,0,nan
instance0_n_10_N_40_tf_0.6_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0795548,300,0,1,0,nan
instance1_n_10_N_40_tf_0.6_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0659335,300,0,1,0,nan
instance2_n_10_N_40_tf_0.6_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0782704,300,0,1,0,nan
instance3_n_10_N_40_tf_0.6_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0879408,300,0,1,0,nan
instance4_n_10_N_40_tf_0.6_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0706229,300,0,1,0,nan
instance5_n_10_N_40_tf_0.6_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.110034,300,0,1,0,nan
instance6_n_10_N_40_tf_0.6_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0801025,300,0,1,0,nan
instance7_n_10_N_40_tf_0.6_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0683015,300,0,1,0,nan
instance8_n_10_N_40_tf_0.6_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.084613,300,0,1,0,nan
instance9_n_10_N_40_tf_0.6_rdd_0.6_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0740946,300,0,1,0,nan
instance0_n_10_N_40_tf_0.6_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0866396,300,0,1,0,nan
instance1_n_10_N_40_tf_0.6_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0943584,300,0,1,0,nan
instance2_n_10_N_40_tf_0.6_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.102656,300,0,1,0,nan
instance3_n_10_N_40_tf_0.6_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0830536,300,0,1,0,nan
instance4_n_10_N_40_tf_0.6_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.074498,300,0,1,0,nan
instance5_n_10_N_40_tf_0.6_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0764278,300,0,1,0,nan
instance6_n_10_N_40_tf_0.6_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0707267,300,0,1,0,nan
instance7_n_10_N_40_tf_0.6_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0657999,300,0,1,0,nan
instance8_n_10_N_40_tf_0.6_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.100125,300,0,1,0,nan
instance9_n_10_N_40_tf_0.6_rdd_0.8_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.104398,300,0,1,0,nan
instance0_n_10_N_40_tf_0.6_rdd_1.0_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0784047,300,0,1,0,nan
instance1_n_10_N_40_tf_0.6_rdd_1.0_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0728243,300,0,1,0,nan
instance2_n_10_N_40_tf_0.6_rdd_1.0_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0658558,300,0,1,0,nan
instance3_n_10_N_40_tf_0.6_rdd_1.0_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0695013,300,0,1,0,nan
instance4_n_10_N_40_tf_0.6_rdd_1.0_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0670565,300,0,1,0,nan
instance5_n_10_N_40_tf_0.6_rdd_1.0_mMax_1_m0_1_Vmax_2.0_V0_1.0,40,10,1,1,2,1,MIP,0.0727461,300,0,1,0,nan
